Indicator,Year,Geography,FIPS,Age Group,Cases,Rate per 100000
Tuberculosis,2000,Alabama,1,0-4,8,2.7
Tuberculosis,2000,Alabama,1,5-14,8,1.3
Tuberculosis,2000,Alabama,1,15-24,16,2.5
Tuberculosis,2000,Alabama,1,25-34,29,4.8
Tuberculosis,2000,Alabama,1,35-44,62,9.1
Tuberculosis,2000,Alabama,1,45-54,51,8.4
Tuberculosis,2000,Alabama,1,55-64,38,9.1
Tuberculosis,2000,Alabama,1,65+,98,16.9
Tuberculosis,2001,Alabama,1,0-4,9,3
Tuberculosis,2001,Alabama,1,5-14,2,0.3
Tuberculosis,2001,Alabama,1,15-24,13,2
Tuberculosis,2001,Alabama,1,25-34,28,4.8
Tuberculosis,2001,Alabama,1,35-44,41,6
Tuberculosis,2001,Alabama,1,45-54,52,8.3
Tuberculosis,2001,Alabama,1,55-64,30,7.1
Tuberculosis,2001,Alabama,1,65+,89,15.2
Tuberculosis,2002,Alabama,1,0-4,9,3
Tuberculosis,2002,Alabama,1,5-14,9,1.4
Tuberculosis,2002,Alabama,1,15-24,17,2.6
Tuberculosis,2002,Alabama,1,25-34,27,4.6
Tuberculosis,2002,Alabama,1,35-44,38,5.7
Tuberculosis,2002,Alabama,1,45-54,36,5.7
Tuberculosis,2002,Alabama,1,55-64,26,5.8
Tuberculosis,2002,Alabama,1,65+,71,12.1
Tuberculosis,2003,Alabama,1,0-4,15,5.1
Tuberculosis,2003,Alabama,1,5-14,3,0.5
Tuberculosis,2003,Alabama,1,15-24,22,3.4
Tuberculosis,2003,Alabama,1,25-34,22,3.8
Tuberculosis,2003,Alabama,1,35-44,53,8.1
Tuberculosis,2003,Alabama,1,45-54,41,6.4
Tuberculosis,2003,Alabama,1,55-64,30,6.4
Tuberculosis,2003,Alabama,1,65+,72,12.2
Tuberculosis,2004,Alabama,1,0-4,9,3
Tuberculosis,2004,Alabama,1,5-14,3,0.5
Tuberculosis,2004,Alabama,1,15-24,12,1.8
Tuberculosis,2004,Alabama,1,25-34,44,7.5
Tuberculosis,2004,Alabama,1,35-44,32,4.9
Tuberculosis,2004,Alabama,1,45-54,34,5.2
Tuberculosis,2004,Alabama,1,55-64,32,6.6
Tuberculosis,2004,Alabama,1,65+,45,7.6
Tuberculosis,2005,Alabama,1,0-4,7,2.4
Tuberculosis,2005,Alabama,1,5-14,8,1.3
Tuberculosis,2005,Alabama,1,15-24,22,3.3
Tuberculosis,2005,Alabama,1,25-34,27,4.6
Tuberculosis,2005,Alabama,1,35-44,28,4.4
Tuberculosis,2005,Alabama,1,45-54,40,6.1
Tuberculosis,2005,Alabama,1,55-64,29,5.7
Tuberculosis,2005,Alabama,1,65+,55,9.1
Tuberculosis,2006,Alabama,1,0-4,5,1.7
Tuberculosis,2006,Alabama,1,5-14,0,0
Tuberculosis,2006,Alabama,1,15-24,17,2.6
Tuberculosis,2006,Alabama,1,25-34,40,6.8
Tuberculosis,2006,Alabama,1,35-44,22,3.4
Tuberculosis,2006,Alabama,1,45-54,23,3.4
Tuberculosis,2006,Alabama,1,55-64,41,7.8
Tuberculosis,2006,Alabama,1,65+,48,7.8
Tuberculosis,2007,Alabama,1,0-4,4,1.3
Tuberculosis,2007,Alabama,1,5-14,3,0.5
Tuberculosis,2007,Alabama,1,15-24,20,3
Tuberculosis,2007,Alabama,1,25-34,22,3.7
Tuberculosis,2007,Alabama,1,35-44,20,3.1
Tuberculosis,2007,Alabama,1,45-54,42,6.2
Tuberculosis,2007,Alabama,1,55-64,22,4.1
Tuberculosis,2007,Alabama,1,65+,43,6.9
Tuberculosis,2008,Alabama,1,0-4,5,1.6
Tuberculosis,2008,Alabama,1,5-14,3,0.5
