Indicator,Year,Geography,FIPS,Sex,Cases,Rate per 100000
Tuberculosis,2000,Alabama,1,Female,91,4
Tuberculosis,2000,Alabama,1,Male,219,10.2
Tuberculosis,2001,Alabama,1,Female,81,3.5
Tuberculosis,2001,Alabama,1,Male,183,8.5
Tuberculosis,2002,Alabama,1,Female,85,3.7
Tuberculosis,2002,Alabama,1,Male,148,6.8
Tuberculosis,2003,Alabama,1,Female,79,3.4
Tuberculosis,2003,Alabama,1,Male,179,8.2
Tuberculosis,2004,Alabama,1,Female,88,3.8
Tuberculosis,2004,Alabama,1,Male,123,5.6
Tuberculosis,2005,Alabama,1,Female,65,2.8
Tuberculosis,2005,Alabama,1,Male,151,6.8
Tuberculosis,2006,Alabama,1,Female,62,2.6
Tuberculosis,2006,Alabama,1,Male,134,6
Tuberculosis,2007,Alabama,1,Female,58,2.4
Tuberculosis,2007,Alabama,1,Male,118,5.2
Tuberculosis,2008,Alabama,1,Female,57,2.3
Tuberculosis,2008,Alabama,1,Male,119,5.2
Tuberculosis,2009,Alabama,1,Female,49,2
Tuberculosis,2009,Alabama,1,Male,119,5.2
Tuberculosis,2010,Alabama,1,Female,50,2
Tuberculosis,2010,Alabama,1,Male,96,4.1
Tuberculosis,2011,Alabama,1,Female,55,2.2
Tuberculosis,2011,Alabama,1,Male,106,4.6
Tuberculosis,2012,Alabama,1,Female,38,1.5
Tuberculosis,2012,Alabama,1,Male,96,4.1
Tuberculosis,2013,Alabama,1,Female,46,1.8
Tuberculosis,2013,Alabama,1,Male,62,2.6
Tuberculosis,2014,Alabama,1,Female,40,1.6
Tuberculosis,2014,Alabama,1,Male,93,4
Tuberculosis,2015,Alabama,1,Female,34,1.4
Tuberculosis,2015,Alabama,1,Male,85,3.6
Tuberculosis,2016,Alabama,1,Female,36,1.4
Tuberculosis,2016,Alabama,1,Male,76,3.2
Tuberculosis,2017,Alabama,1,Female,48,1.9
Tuberculosis,2017,Alabama,1,Male,72,3.1
Tuberculosis,2018,Alabama,1,Female,27,1.1
Tuberculosis,2018,Alabama,1,Male,63,2.7
Tuberculosis,2019,Alabama,1,Female,32,1.3
Tuberculosis,2019,Alabama,1,Male,55,2.3
Tuberculosis,2020 (COVID-19 Pandemic),Alabama,1,Female,21,0.8
Tuberculosis,2020 (COVID-19 Pandemic),Alabama,1,Male,51,2.1
Tuberculosis,2021,Alabama,1,Female,24,0.9
Tuberculosis,2021,Alabama,1,Male,67,2.7
Tuberculosis,2022,Alabama,1,Female,20,0.8
Tuberculosis,2022,Alabama,1,Male,45,1.8
Tuberculosis,2000,Alaska,2,Female,41,13.5
Tuberculosis,2000,Alaska,2,Male,67,20.6
Tuberculosis,2001,Alaska,2,Female,21,6.9
Tuberculosis,2001,Alaska,2,Male,33,10.1
Tuberculosis,2002,Alaska,2,Female,21,6.8
Tuberculosis,2002,Alaska,2,Male,28,8.4
Tuberculosis,2003,Alaska,2,Female,18,5.8
Tuberculosis,2003,Alaska,2,Male,39,11.6
Tuberculosis,2004,Alaska,2,Female,17,5.3
Tuberculosis,2004,Alaska,2,Male,26,7.6
Tuberculosis,2005,Alaska,2,Female,27,8.4
Tuberculosis,2005,Alaska,2,Male,32,9.2
Tuberculosis,2006,Alaska,2,Female,32,9.8
Tuberculosis,2006,Alaska,2,Male,38,10.9
Tuberculosis,2007,Alaska,2,Female,16,4.9
Tuberculosis,2007,Alaska,2,Male,34,9.6
Tuberculosis,2008,Alaska,2,Female,17,5.2
Tuberculosis,2008,Alaska,2,Male,33,9.2
Tuberculosis,2009,Alaska,2,Female,13,3.9
Tuberculosis,2009,Alaska,2,Male,24,6.6
Tuberculosis,2010,Alaska,2,Female,21,6.1
Tuberculosis,2010,Alaska,2,Male,36,9.7
