Area,2020 Census,,,2010 Census,,,2000 Census,,,
,"Resident
Population","Population
Density","Density
Rank","Resident
Population","Population
Density","Density
Rank","Resident
Population","Population
Density","Density
Rank",
Alabama,"5,024,279",99.2,29,"4,779,736",94.4,29,"4,447,100",87.8,28,
Alaska,"733,391",1.3,52,"710,231",1.2,52,"626,932",1.1,52,
Arizona,"7,151,502",62.9,35,"6,392,017",56.3,35,"5,130,632",45.2,38,
Arkansas,"3,011,524",57.9,36,"2,915,918",56.0,36,"2,673,400",51.4,36,
California,"39,538,223",253.7,13,"37,253,956",239.1,13,"33,871,648",217.4,14,
Colorado,"5,773,714",55.7,39,"5,029,196",48.5,39,"4,301,261",41.5,39,
Connecticut,"3,605,944",744.7,6,"3,574,097",738.1,6,"3,405,565",703.3,6,
Delaware,"989,948",508.0,8,"897,934",460.8,8,"783,600",402.1,9,
District of Columbia,"689,545","11,280.0",1,"601,723","9,856.5",1,"572,059","9,370.6",1,
Florida,"21,538,187",401.4,10,"18,801,310",350.6,10,"15,982,378",298.0,10,
Georgia,"10,711,908",185.6,19,"9,687,653",168.4,20,"8,186,453",142.3,20,
Hawaii,"1,455,271",226.6,15,"1,360,301",211.8,15,"1,211,537",188.6,15,
Idaho,"1,839,106",22.3,46,"1,567,582",19.0,46,"1,293,953",15.7,46,
Illinois,"12,812,508",230.8,14,"12,830,632",231.1,14,"12,419,293",223.7,13,
Indiana,"6,785,528",189.4,18,"6,483,802",181.0,18,"6,080,485",169.7,18,
Iowa,"3,190,369",57.1,38,"3,046,355",54.5,38,"2,926,324",52.4,35,
Kansas,"2,937,880",35.9,43,"2,853,118",34.9,42,"2,688,418",32.9,42,
Kentucky,"4,505,836",114.1,25,"4,339,367",109.9,24,"4,041,769",102.4,25,
Louisiana,"4,657,757",107.8,28,"4,533,372",104.9,26,"4,468,976",103.4,24,
Maine,"1,362,359",44.2,40,"1,328,361",43.1,40,"1,274,923",41.3,40,
Maryland,"6,177,224",636.1,7,"5,773,552",594.8,7,"5,296,486",545.6,7,
Massachusetts,"7,029,917",901.2,5,"6,547,629",839.4,5,"6,349,097",814.0,5,
Michigan,"10,077,331",178.0,20,"9,883,640",174.8,19,"9,938,444",175.8,17,
Minnesota,"5,706,494",71.7,32,"5,303,925",66.6,33,"4,919,479",61.8,33,
Mississippi,"2,961,279",63.1,34,"2,967,297",63.2,34,"2,844,658",60.6,34,
Missouri,"6,154,913",89.5,30,"5,988,927",87.1,30,"5,595,211",81.4,29,
Montana,"1,084,225",7.4,50,"989,415",6.8,50,"902,195",6.2,50,
Nebraska,"1,961,504",25.5,45,"1,826,341",23.8,45,"1,711,263",22.3,44,
Nevada,"3,104,614",28.3,44,"2,700,551",24.6,44,"1,998,257",18.2,45,
New Hampshire,"1,377,529",153.8,23,"1,316,470",147.0,23,"1,235,786",138.0,22,
New Jersey,"9,288,994","1,263.0",2,"8,791,894","1,195.5",2,"8,414,350","1,144.2",2,
New Mexico,"2,117,522",17.5,47,"2,059,179",17.0,47,"1,819,046",15.0,47,
New York,"20,201,249",428.7,9,"19,378,102",411.2,9,"18,976,457",402.7,8,
