Indicator,Year,Geography,FIPS,Country of birth,Cases,Rate per 100000
Tuberculosis,2000,Alabama,1,Non-U.S.–born,22,Data not available
Tuberculosis,2000,Alabama,1,U.S.-born,288,Data not available
Tuberculosis,2001,Alabama,1,Non-U.S.–born,32,Data not available
Tuberculosis,2001,Alabama,1,U.S.-born,232,Data not available
Tuberculosis,2002,Alabama,1,Non-U.S.–born,31,Data not available
Tuberculosis,2002,Alabama,1,U.S.-born,202,Data not available
Tuberculosis,2003,Alabama,1,Non-U.S.–born,32,Data not available
Tuberculosis,2003,Alabama,1,U.S.-born,226,Data not available
Tuberculosis,2004,Alabama,1,Non-U.S.–born,39,Data not available
Tuberculosis,2004,Alabama,1,U.S.-born,172,Data not available
Tuberculosis,2005,Alabama,1,Non-U.S.–born,40,Data not available
Tuberculosis,2005,Alabama,1,U.S.-born,176,Data not available
Tuberculosis,2006,Alabama,1,Non-U.S.–born,53,Data not available
Tuberculosis,2006,Alabama,1,U.S.-born,143,Data not available
Tuberculosis,2007,Alabama,1,Non-U.S.–born,38,Data not available
Tuberculosis,2007,Alabama,1,U.S.-born,138,Data not available
Tuberculosis,2008,Alabama,1,Non-U.S.–born,40,Data not available
Tuberculosis,2008,Alabama,1,U.S.-born,136,Data not available
Tuberculosis,2009,Alabama,1,Non-U.S.–born,42,Data not available
Tuberculosis,2009,Alabama,1,U.S.-born,126,Data not available
Tuberculosis,2010,Alabama,1,Non-U.S.–born,39,Data not available
Tuberculosis,2010,Alabama,1,U.S.-born,107,Data not available
Tuberculosis,2011,Alabama,1,Non-U.S.–born,49,Data not available
Tuberculosis,2011,Alabama,1,U.S.-born,112,Data not available
Tuberculosis,2012,Alabama,1,Non-U.S.–born,26,Data not available
Tuberculosis,2012,Alabama,1,U.S.-born,108,Data not available
Tuberculosis,2013,Alabama,1,Non-U.S.–born,21,Data not available
Tuberculosis,2013,Alabama,1,U.S.-born,87,Data not available
Tuberculosis,2014,Alabama,1,Non-U.S.–born,22,Data not available
Tuberculosis,2014,Alabama,1,U.S.-born,111,Data not available
Tuberculosis,2015,Alabama,1,Non-U.S.–born,29,Data not available
Tuberculosis,2015,Alabama,1,U.S.-born,90,Data not available
Tuberculosis,2016,Alabama,1,Non-U.S.–born,26,Data not available
Tuberculosis,2016,Alabama,1,U.S.-born,86,Data not available
Tuberculosis,2017,Alabama,1,Non-U.S.–born,24,Data not available
Tuberculosis,2017,Alabama,1,U.S.-born,96,Data not available
Tuberculosis,2018,Alabama,1,Non-U.S.–born,29,Data not available
Tuberculosis,2018,Alabama,1,U.S.-born,61,Data not available
Tuberculosis,2019,Alabama,1,Non-U.S.–born,40,Data not available
Tuberculosis,2019,Alabama,1,U.S.-born,47,Data not available
Tuberculosis,2020 (COVID-19 Pandemic),Alabama,1,Non-U.S.–born,25,Data not available
Tuberculosis,2020 (COVID-19 Pandemic),Alabama,1,U.S.-born,47,Data not available
Tuberculosis,2021,Alabama,1,Non-U.S.–born,31,Data not available
Tuberculosis,2021,Alabama,1,U.S.-born,60,Data not available
Tuberculosis,2022,Alabama,1,Non-U.S.–born,28,Data not available
Tuberculosis,2022,Alabama,1,U.S.-born,36,Data not available
Tuberculosis,2000,Alaska,2,Non-U.S.–born,15,Data not available
Tuberculosis,2000,Alaska,2,U.S.-born,93,Data not available
Tuberculosis,2001,Alaska,2,Non-U.S.–born,13,Data not available
Tuberculosis,2001,Alaska,2,U.S.-born,41,Data not available
Tuberculosis,2002,Alaska,2,Non-U.S.–born,19,Data not available
Tuberculosis,2002,Alaska,2,U.S.-born,30,Data not available
Tuberculosis,2003,Alaska,2,Non-U.S.–born,16,Data not available
Tuberculosis,2003,Alaska,2,U.S.-born,41,Data not available
Tuberculosis,2004,Alaska,2,Non-U.S.–born,9,Data not available
Tuberculosis,2004,Alaska,2,U.S.-born,34,Data not available
Tuberculosis,2005,Alaska,2,Non-U.S.–born,17,Data not available
