Year,Geography,American Indian/Alaska Native,Asian,Black/African American,Hispanic/Latino,Multiracial,Native Hawaiian/Other Pacific Islander,Unknown,White,Female,Male,Non-U.S.–born,U.S.-born,0-4,15-24,25-34,35-44,45-54,5-14,55-64,65+
2000,Alabama,1,7,177,12,0,0,0,113,91,219,22,288,8.0,16.0,29.0,62.0,51.0,8.0,38.0,98.0
2000,Alaska,71,15,9,2,0,2,0,9,41,67,15,93,18.0,13.0,8.0,26.0,8.0,11.0,12.0,12.0
2000,Arizona,29,28,21,140,0,1,0,42,83,178,148,112,12.0,33.0,43.0,48.0,43.0,6.0,22.0,54.0
2000,Arkansas,1,10,71,20,0,6,4,87,70,129,31,165,9.0,20.0,17.0,24.0,24.0,16.0,20.0,69.0
2000,California,15,"1,333",318,"1,201",0,20,17,384,"1,316","1,972","2,369",904,115.0,327.0,537.0,520.0,505.0,89.0,433.0,762.0
2000,Colorado,5,17,12,38,0,0,0,25,38,59,59,38,5.0,13.0,12.0,19.0,13.0,0.0,11.0,24.0
2000,Connecticut,0,17,31,18,0,0,0,39,47,58,61,44,3.0,10.0,21.0,21.0,15.0,3.0,7.0,25.0
2000,Delaware,0,8,9,7,0,1,0,3,10,18,19,9,2.0,7.0,6.0,2.0,2.0,1.0,4.0,4.0
2000,District of Columbia,1,3,61,12,0,0,1,7,30,55,25,60,3.0,6.0,16.0,15.0,22.0,1.0,9.0,13.0
2000,Florida,2,61,591,218,0,0,0,292,361,803,450,712,33.0,92.0,166.0,276.0,241.0,21.0,143.0,192.0
2000,Georgia,0,62,424,78,0,1,6,124,226,469,153,538,45.0,83.0,95.0,126.0,155.0,18.0,73.0,100.0
2000,Hawaii,0,124,0,0,0,10,1,1,55,81,112,23,2.0,9.0,18.0,17.0,26.0,0.0,23.0,41.0
2000,Idaho,0,3,0,5,0,0,2,6,5,11,5,10,1.0,3.0,3.0,1.0,1.0,0.0,2.0,5.0
2000,Illinois,6,134,298,145,0,0,9,146,305,433,276,461,18.0,73.0,121.0,138.0,124.0,18.0,79.0,167.0
2000,Indiana,0,11,41,21,1,0,0,71,51,94,34,111,10.0,9.0,18.0,22.0,17.0,4.0,22.0,43.0
2000,Iowa,0,9,5,9,0,0,0,17,8,32,26,14,2.0,4.0,12.0,8.0,2.0,1.0,5.0,6.0
2000,Kansas,0,22,16,15,0,0,2,22,32,45,39,37,3.0,9.0,14.0,14.0,12.0,2.0,8.0,15.0
2000,Kentucky,1,5,21,7,0,0,0,113,46,101,15,132,3.0,8.0,13.0,19.0,21.0,0.0,23.0,60.0
2000,Louisiana,0,31,177,11,0,0,2,110,99,232,33,296,14.0,22.0,33.0,70.0,52.0,12.0,59.0,69.0
2000,Maine,0,2,3,2,0,0,0,17,11,13,8,16,0.0,3.0,3.0,1.0,9.0,1.0,2.0,5.0
2000,Maryland,0,61,132,33,0,1,0,56,127,156,141,142,5.0,41.0,49.0,49.0,44.0,4.0,25.0,66.0
2000,Massachusetts,1,81,71,41,0,0,2,89,111,174,204,81,5.0,32.0,66.0,44.0,41.0,6.0,30.0,61.0
2000,Michigan,1,35,146,18,0,0,0,87,124,163,91,196,14.0,32.0,48.0,44.0,52.0,4.0,35.0,58.0
2000,Minnesota,3,34,91,30,0,0,1,19,84,94,146,32,5.0,50.0,50.0,15.0,24.0,5.0,12.0,17.0
2000,Mississippi,1,10,96,5,0,0,1,60,59,114,15,158,3.0,3.0,25.0,30.0,35.0,6.0,21.0,50.0
2000,Missouri,0,24,77,11,0,0,1,97,84,126,50,160,4.0,12.0,30.0,36.0,36.0,7.0,25.0,60.0
2000,Montana,16,0,0,0,0,0,1,4,6,15,0,21,0.0,0.0,5.0,4.0,4.0,0.0,5.0,3.0
2000,Nebraska,2,5,9,5,0,0,0,3,7,17,15,9,2.0,3.0,7.0,3.0,2.0,1.0,2.0,4.0
2000,Nevada,3,25,14,26,0,0,0,28,30,66,54,41,1.0,6.0,20.0,17.0,12.0,7.0,18.0,15.0
2000,New Hampshire,0,9,6,1,0,0,0,6,11,11,17,5,0.0,4.0,9.0,1.0,2.0,2.0,4.0,0.0
2000,New Jersey,0,161,165,126,0,0,10,103,249,316,351,213,12.0,68.0,107.0,104.0,90.0,12.0,58.0,114.0
2000,New Mexico,12,2,1,26,0,0,0,5,16,30,19,27,0.0,2.0,3.0,2.0,9.0,1.0,7.0,22.0
2000,New York,1,413,587,460,0,1,11,245,668,"1,050","1,006",705,38.0,174.0,328.0,362.0,269.0,54.0,185.0,308.0
2000,North Carolina,1,21,235,67,3,0,0,120,145,302,113,334,15.0,46.0,70.0,90.0,68.0,3.0,42.0,113.0
2000,North Dakota,1,0,1,0,0,0,0,3,3,2,1,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
2000,Ohio,0,26,160,20,0,0,1,131,133,205,100,238,8.0,44.0,42.0,57.0,52.0,6.0,38.0,91.0
2000,Oklahoma,26,16,25,11,0,0,0,75,59,94,25,127,9.0,10.0,24.0,29.0,26.0,2.0,14.0,39.0
2000,Oregon,3,25,15,30,0,0,0,46,49,70,68,51,8.0,12.0,31.0,21.0,12.0,3.0,13.0,19.0
2000,Pennsylvania,0,84,142,31,0,0,8,118,173,210,142,241,14.0,34.0,58.0,65.0,60.0,12.0,36.0,104.0
2000,Rhode Island,1,11,11,10,0,0,0,16,18,31,27,22,3.0,4.0,9.0,8.0,6.0,2.0,6.0,11.0
2000,South Carolina,0,16,199,15,0,0,0,56,80,206,31,255,5.0,23.0,44.0,54.0,46.0,5.0,39.0,70.0
2000,South Dakota,9,0,3,0,0,0,0,4,7,9,3,13,1.0,1.0,2.0,0.0,3.0,0.0,3.0,6.0
2000,Tennessee,1,10,147,33,0,0,5,186,116,266,60,322,11.0,32.0,54.0,62.0,56.0,5.0,49.0,113.0
2000,Texas,3,147,352,732,0,1,1,260,527,969,617,879,63.0,148.0,240.0,287.0,277.0,46.0,182.0,253.0
2000,Utah,0,6,5,15,0,2,0,21,14,35,25,24,1.0,7.0,11.0,4.0,11.0,0.0,7.0,8.0
2000,Vermont,0,0,0,0,0,0,0,4,0,4,1,3,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0
2000,Virginia,0,87,98,47,0,0,4,56,121,171,186,105,6.0,31.0,64.0,44.0,52.0,7.0,41.0,47.0
2000,Washington,10,102,43,33,0,5,1,64,115,143,176,82,4.0,26.0,52.0,44.0,39.0,5.0,34.0,54.0
2000,West Virginia,0,2,6,1,0,0,0,24,11,22,1,32,0.0,3.0,1.0,3.0,7.0,0.0,6.0,13.0
2000,Wisconsin,4,26,26,14,0,0,0,22,33,59,48,44,1.0,10.0,14.0,18.0,9.0,2.0,10.0,28.0
2000,Wyoming,1,0,0,1,0,0,0,2,0,4,1,3,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
2001,Alabama,0,10,127,21,0,0,0,106,81,183,32,232,9.0,13.0,28.0,41.0,52.0,2.0,30.0,89.0
2001,Alaska,34,13,0,2,0,0,0,5,21,33,13,41,1.0,3.0,7.0,10.0,9.0,4.0,9.0,11.0
2001,Arizona,44,23,14,135,0,0,0,73,97,192,134,153,14.0,40.0,44.0,46.0,48.0,9.0,31.0,57.0
2001,Arkansas,1,7,62,14,0,8,3,67,48,114,28,134,5.0,14.0,11.0,28.0,26.0,5.0,21.0,52.0
2001,California,15,"1,365",291,"1,254",0,20,16,368,"1,300","2,029","2,473",837,132.0,319.0,561.0,543.0,524.0,92.0,431.0,727.0
2001,Colorado,2,21,19,69,0,0,0,27,61,77,85,53,11.0,20.0,26.0,18.0,16.0,5.0,16.0,26.0
2001,Connecticut,0,21,32,26,0,0,3,39,44,77,67,52,2.0,12.0,28.0,19.0,14.0,2.0,14.0,30.0
2001,Delaware,0,6,10,8,0,0,0,9,15,18,20,13,1.0,2.0,7.0,5.0,6.0,0.0,4.0,8.0
2001,District of Columbia,0,5,54,10,0,0,0,5,26,48,27,47,4.0,10.0,7.0,10.0,18.0,2.0,11.0,12.0
2001,Florida,3,80,530,235,1,0,0,289,363,775,467,669,32.0,94.0,162.0,285.0,243.0,22.0,138.0,162.0
2001,Georgia,1,58,340,65,1,1,0,111,214,363,157,420,25.0,46.0,107.0,128.0,129.0,3.0,52.0,87.0
2001,Hawaii,0,125,0,2,0,17,0,6,51,99,121,24,1.0,16.0,13.0,17.0,26.0,1.0,30.0,46.0
2001,Idaho,0,1,0,3,0,0,1,4,2,7,3,6,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
2001,Illinois,5,142,277,149,0,0,1,129,297,406,280,423,30.0,67.0,126.0,131.0,125.0,15.0,91.0,118.0
2001,Indiana,0,14,30,17,0,0,0,54,40,75,40,75,2.0,9.0,20.0,20.0,16.0,1.0,17.0,30.0
2001,Iowa,2,13,7,3,0,0,0,18,20,23,23,20,0.0,3.0,4.0,6.0,10.0,1.0,3.0,16.0
2001,Kansas,1,24,7,22,0,0,8,19,34,47,48,31,3.0,18.0,11.0,10.0,10.0,3.0,8.0,18.0
2001,Kentucky,0,7,25,10,0,1,0,109,41,111,28,124,4.0,10.0,18.0,25.0,24.0,2.0,18.0,50.0
2001,Louisiana,2,17,162,8,0,0,1,104,91,203,22,271,6.0,15.0,34.0,57.0,67.0,8.0,43.0,64.0
2001,Maine,1,6,5,0,0,0,0,8,6,14,11,9,0.0,1.0,4.0,5.0,4.0,1.0,3.0,2.0
2001,Maryland,0,58,139,31,0,0,0,34,117,145,153,109,10.0,34.0,67.0,43.0,28.0,9.0,24.0,47.0
2001,Massachusetts,1,83,70,44,0,0,0,72,135,135,207,63,4.0,30.0,78.0,44.0,31.0,7.0,30.0,46.0
2001,Michigan,0,51,154,11,0,1,1,111,145,184,118,211,14.0,35.0,46.0,63.0,48.0,6.0,40.0,77.0
2001,Minnesota,6,63,132,17,0,0,0,21,105,134,192,46,10.0,55.0,61.0,29.0,25.0,17.0,17.0,25.0
2001,Mississippi,2,5,102,5,0,0,0,40,55,99,12,142,5.0,6.0,14.0,29.0,36.0,2.0,16.0,46.0
2001,Missouri,0,18,64,8,0,0,1,65,58,98,47,109,2.0,14.0,22.0,26.0,22.0,5.0,17.0,48.0
2001,Montana,6,2,2,0,0,0,0,10,5,15,3,16,1.0,3.0,2.0,3.0,4.0,0.0,3.0,4.0
2001,Nebraska,5,5,7,10,0,1,0,12,14,26,24,16,2.0,4.0,10.0,7.0,8.0,0.0,3.0,6.0
2001,Nevada,1,34,14,17,0,0,1,29,34,62,56,39,2.0,10.0,13.0,17.0,17.0,2.0,21.0,14.0
2001,New Hampshire,0,7,2,4,0,0,0,7,9,11,15,5,1.0,5.0,4.0,2.0,4.0,0.0,1.0,3.0
2001,New Jersey,0,147,149,150,0,2,8,74,226,304,333,196,11.0,64.0,129.0,96.0,68.0,14.0,44.0,104.0
2001,New Mexico,22,4,0,18,0,0,1,9,29,25,12,42,0.0,2.0,4.0,6.0,10.0,0.0,8.0,24.0
2001,New York,0,420,511,494,0,0,10,210,655,990,"1,054",574,38.0,201.0,331.0,336.0,234.0,36.0,199.0,270.0
2001,North Carolina,2,28,196,77,1,0,0,93,140,257,125,271,7.0,37.0,64.0,69.0,66.0,4.0,46.0,104.0
2001,North Dakota,3,0,1,0,0,0,0,2,3,3,1,4,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0
2001,Ohio,1,32,141,14,0,0,1,117,113,193,84,222,7.0,35.0,39.0,38.0,49.0,9.0,38.0,91.0
2001,Oklahoma,39,15,41,21,0,2,0,75,80,113,31,162,14.0,25.0,27.0,25.0,28.0,7.0,16.0,51.0
2001,Oregon,1,30,11,33,0,1,0,47,38,85,68,55,2.0,11.0,25.0,24.0,21.0,2.0,11.0,27.0
2001,Pennsylvania,0,79,125,24,0,0,3,118,142,207,149,199,8.0,21.0,55.0,61.0,50.0,6.0,38.0,110.0
2001,Rhode Island,0,13,12,16,0,0,0,19,29,31,38,21,6.0,10.0,8.0,9.0,8.0,2.0,8.0,9.0
2001,South Carolina,0,15,173,21,0,0,0,54,83,180,32,231,13.0,16.0,28.0,53.0,54.0,12.0,22.0,65.0
2001,South Dakota,4,1,3,2,0,0,0,3,8,5,5,8,0.0,2.0,4.0,1.0,1.0,1.0,0.0,4.0
2001,Tennessee,0,12,139,21,0,0,2,139,109,204,44,269,7.0,22.0,48.0,56.0,47.0,5.0,34.0,94.0
2001,Texas,5,162,419,774,0,1,5,265,565,"1,066",706,925,75.0,151.0,291.0,300.0,319.0,44.0,174.0,277.0
2001,Utah,2,5,4,13,0,1,0,10,11,24,22,13,1.0,5.0,6.0,4.0,7.0,2.0,4.0,6.0
2001,Vermont,0,3,2,0,0,0,0,2,4,3,6,1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
2001,Virginia,1,65,99,84,0,0,10,47,127,179,186,116,6.0,38.0,78.0,49.0,44.0,7.0,30.0,54.0
2001,Washington,10,101,46,34,0,2,4,64,97,164,187,73,11.0,37.0,53.0,39.0,43.0,6.0,27.0,45.0
2001,West Virginia,0,0,5,0,0,0,0,27,10,22,0,32,0.0,0.0,4.0,8.0,3.0,0.0,5.0,12.0
2001,Wisconsin,3,24,27,13,0,0,0,19,34,52,44,42,4.0,9.0,16.0,19.0,9.0,1.0,10.0,18.0
2001,Wyoming,1,1,0,0,0,0,0,1,1,2,1,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2002,Alabama,1,11,118,16,0,0,0,87,85,148,31,202,9.0,17.0,27.0,38.0,36.0,9.0,26.0,71.0
2002,Alaska,22,17,1,2,0,0,2,5,21,28,19,30,5.0,7.0,3.0,6.0,12.0,0.0,5.0,11.0
2002,Arizona,35,20,15,145,0,0,0,48,93,170,138,125,9.0,26.0,45.0,41.0,40.0,12.0,31.0,59.0
2002,Arkansas,0,3,54,18,0,0,0,61,47,89,20,116,7.0,9.0,13.0,22.0,21.0,3.0,13.0,48.0
2002,California,6,"1,271",276,"1,276",0,13,18,312,"1,283","1,889","2,391",762,127.0,311.0,515.0,541.0,496.0,97.0,376.0,709.0
2002,Colorado,1,29,10,41,0,1,0,21,44,59,72,31,5.0,12.0,20.0,12.0,17.0,3.0,11.0,23.0
2002,Connecticut,0,16,27,30,0,0,3,29,50,55,65,40,2.0,15.0,26.0,18.0,10.0,1.0,6.0,27.0
2002,Delaware,0,4,9,4,0,0,0,8,9,16,12,13,0.0,3.0,3.0,7.0,3.0,0.0,0.0,9.0
2002,District of Columbia,0,1,60,15,0,0,1,5,23,59,28,54,2.0,9.0,13.0,18.0,19.0,0.0,12.0,9.0
2002,Florida,4,69,480,243,0,0,2,286,382,702,470,614,31.0,90.0,164.0,245.0,225.0,33.0,124.0,172.0
2002,Georgia,0,44,322,75,4,0,0,90,190,345,169,365,22.0,50.0,104.0,127.0,98.0,9.0,50.0,74.0
2002,Hawaii,0,117,1,2,0,20,2,6,56,92,121,26,3.0,13.0,15.0,25.0,21.0,3.0,23.0,45.0
2002,Idaho,0,2,1,4,0,0,2,5,8,6,10,3,0.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0
2002,Illinois,3,148,245,151,0,0,2,130,291,388,283,395,25.0,76.0,107.0,119.0,122.0,19.0,76.0,135.0
2002,Indiana,0,17,36,22,0,1,0,52,49,79,47,81,5.0,16.0,18.0,18.0,19.0,0.0,12.0,40.0
2002,Iowa,1,8,3,4,0,0,0,18,13,21,20,14,0.0,4.0,5.0,4.0,6.0,1.0,3.0,11.0
2002,Kansas,0,20,18,27,0,0,0,21,34,52,46,39,5.0,9.0,23.0,15.0,11.0,3.0,7.0,13.0
2002,Kentucky,0,14,16,16,0,0,0,100,54,92,42,104,4.0,14.0,20.0,26.0,15.0,3.0,19.0,45.0
2002,Louisiana,1,17,137,8,0,0,1,66,91,139,24,202,10.0,12.0,31.0,43.0,53.0,4.0,26.0,51.0
2002,Maine,0,6,2,1,0,0,0,14,13,10,11,12,0.0,0.0,7.0,4.0,2.0,0.0,0.0,10.0
2002,Maryland,0,70,158,36,1,0,0,41,141,165,164,142,11.0,32.0,56.0,52.0,47.0,11.0,28.0,69.0
2002,Massachusetts,0,82,77,52,0,0,1,59,116,155,205,66,11.0,29.0,72.0,45.0,44.0,4.0,25.0,41.0
2002,Michigan,0,54,136,23,0,0,0,102,136,179,120,195,13.0,32.0,61.0,49.0,56.0,13.0,25.0,66.0
2002,Minnesota,3,60,120,23,0,0,0,31,107,130,181,56,15.0,55.0,59.0,28.0,21.0,14.0,18.0,27.0
2002,Mississippi,1,5,72,8,0,0,2,46,45,89,10,120,7.0,5.0,13.0,14.0,24.0,4.0,13.0,54.0
2002,Missouri,1,14,62,10,0,1,0,48,46,90,38,98,3.0,12.0,19.0,21.0,22.0,3.0,15.0,41.0
2002,Montana,8,0,0,0,0,0,0,4,2,10,0,12,0.0,0.0,1.0,0.0,3.0,0.0,2.0,6.0
2002,Nebraska,2,3,8,8,0,0,0,7,9,19,16,12,3.0,7.0,4.0,2.0,4.0,0.0,3.0,5.0
2002,Nevada,2,28,9,21,0,0,1,24,43,42,52,33,1.0,5.0,13.0,20.0,15.0,1.0,15.0,15.0
2002,New Hampshire,0,11,2,0,0,0,0,6,7,12,15,4,0.0,2.0,6.0,4.0,0.0,1.0,3.0,3.0
2002,New Jersey,0,125,164,152,0,0,2,87,212,318,324,204,22.0,57.0,100.0,113.0,81.0,10.0,55.0,92.0
2002,New Mexico,20,4,3,27,0,0,0,3,27,30,22,35,0.0,3.0,6.0,7.0,8.0,5.0,7.0,21.0
2002,New York,1,375,434,419,0,0,6,183,558,860,917,484,37.0,171.0,288.0,292.0,235.0,19.0,148.0,228.0
2002,North Carolina,4,38,226,76,2,0,0,88,163,271,133,301,16.0,35.0,73.0,78.0,61.0,16.0,49.0,106.0
2002,North Dakota,2,2,0,0,0,0,0,2,2,4,2,4,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0
2002,Ohio,1,43,109,13,0,0,0,91,95,162,102,155,8.0,21.0,46.0,48.0,28.0,2.0,29.0,75.0
2002,Oklahoma,31,14,52,17,0,0,0,76,74,116,30,159,25.0,15.0,31.0,25.0,28.0,8.0,24.0,34.0
2002,Oregon,3,32,15,31,0,3,0,27,43,68,67,44,4.0,18.0,25.0,10.0,18.0,4.0,14.0,18.0
2002,Pennsylvania,1,83,136,35,0,0,1,97,152,201,127,224,4.0,30.0,56.0,62.0,44.0,11.0,40.0,106.0
2002,Rhode Island,0,13,14,8,0,0,0,14,20,29,33,16,1.0,8.0,10.0,8.0,6.0,0.0,7.0,9.0
2002,South Carolina,0,11,171,21,0,1,0,52,89,167,32,224,6.0,16.0,18.0,55.0,50.0,8.0,38.0,65.0
2002,South Dakota,11,0,0,0,0,0,0,2,7,6,1,12,0.0,0.0,1.0,3.0,0.0,0.0,4.0,5.0
2002,Tennessee,0,13,135,23,0,0,0,137,106,202,49,259,12.0,20.0,46.0,48.0,46.0,6.0,42.0,88.0
2002,Texas,0,145,373,744,0,1,3,272,517,"1,021",652,886,67.0,137.0,245.0,310.0,306.0,33.0,195.0,245.0
2002,Utah,3,4,1,8,0,2,0,13,14,17,20,11,1.0,4.0,9.0,3.0,5.0,1.0,4.0,4.0
2002,Vermont,0,2,1,1,0,0,0,4,4,4,5,3,0.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0
2002,Virginia,0,88,84,74,1,0,2,66,137,177,189,126,11.0,34.0,67.0,48.0,45.0,6.0,39.0,65.0
2002,Washington,15,101,47,33,0,2,4,50,107,145,174,78,7.0,38.0,45.0,44.0,37.0,6.0,22.0,53.0
2002,West Virginia,0,0,4,1,0,0,0,25,15,15,1,29,0.0,1.0,3.0,7.0,3.0,0.0,6.0,10.0
2002,Wisconsin,2,24,23,9,0,0,2,18,37,41,37,40,0.0,11.0,12.0,10.0,13.0,1.0,11.0,20.0
2002,Wyoming,0,0,0,0,0,0,0,3,2,1,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2003,Alabama,0,10,143,20,0,0,0,85,79,179,32,226,15.0,22.0,22.0,53.0,41.0,3.0,30.0,72.0
2003,Alaska,40,10,0,2,0,0,3,2,18,39,16,41,5.0,8.0,3.0,15.0,9.0,2.0,7.0,8.0
2003,Arizona,15,28,12,178,0,0,0,62,107,188,172,121,30.0,31.0,48.0,41.0,34.0,15.0,35.0,61.0
